currency,risk,weight_cov
USD,0.0,489.40572293400754
USD,1.0,59.507367979128176
USD,2.0,32.592230577016764
USD,3.0,17.85078940742271
USD,4.0,13.210799388241822
USD,5.0,7.235564845000519
USD,6.0,5.354810560264058
USD,7.0,2.932833805346324
USD,8.0,2.1704966742464165
USD,9.0,1.1887826747521302
USD,10.0,0.3566064152868599
EUR,0.0,368.74904631093443
EUR,1.0,50.30042126861015
EUR,2.0,28.46972391533874
EUR,3.0,16.11368571820326
EUR,4.0,12.122737619689522
EUR,5.0,9.120245359496955
EUR,6.0,6.861393690673316
EUR,7.0,3.8835059254229174
EUR,8.0,2.198040070677672
EUR,9.0,1.2440769359141808
EUR,10.0,0.398538705024653
SGD,0.0,418.71895314866384
SGD,1.0,54.41289088777503
SGD,2.0,30.373570789261983
SGD,3.0,16.95469193858949
SGD,4.0,12.667383795785586
SGD,5.0,9.464200989963883
SGD,6.0,7.071002333428428
SGD,7.0,3.947071850462514
SGD,8.0,2.203276912957798
SGD,9.0,1.2298811217748689
SGD,10.0,0.3832227106585264
