Date,BTC-USD
2020-10-01,13780.9951171875
2020-11-01,19625.8359375
2020-12-01,29001.720703125
2021-01-01,33114.359375
2021-02-01,45137.76953125
2021-03-01,58918.83203125
2021-04-01,57750.17578125
2021-05-01,37332.85546875
2021-06-01,35040.8359375
2021-07-01,41626.1953125
2021-08-01,47166.6875
2021-09-01,43790.89453125
2021-10-01,61318.95703125
2021-11-01,57005.42578125
2021-12-01,46306.4453125
2022-01-01,38483.125
2022-02-01,43193.234375
2022-03-01,45538.67578125
2022-04-01,37714.875
2022-05-01,31792.310546875
2022-06-01,19784.7265625
2022-07-01,23336.896484375
2022-08-01,20049.763671875
2022-09-01,19431.7890625
2022-10-01,20495.7734375
2022-11-01,17168.56640625
2022-12-01,16547.49609375
2023-01-01,23139.283203125
2023-02-01,23147.353515625
2023-03-01,28478.484375
2023-04-01,29268.806640625
2023-05-01,27219.658203125
2023-06-01,30477.251953125
2023-07-01,29230.111328125
2023-08-01,25931.47265625
2023-09-01,26967.916015625
2023-10-01,34667.78125
2023-11-01,37712.74609375
2023-12-01,42265.1875
2024-01-01,42582.60546875
2024-02-01,61198.3828125
2024-03-01,71333.6484375
2024-04-01,60636.85546875
2024-05-01,67491.4140625
2024-06-01,62678.29296875
2024-07-01,64619.25
2024-08-01,58969.8984375
2024-09-01,63329.5
2024-10-01,70215.1875
2024-11-01,96449.0546875
2024-12-01,93429.203125
2025-01-01,102405.0234375
2025-02-01,84373.0078125
2025-03-01,82548.9140625
2025-04-01,94207.3125
2025-05-01,104638.09375
2025-06-01,107135.3359375
2025-07-01,115758.203125
2025-08-01,108236.7109375
2025-09-01,109288.0859375
